BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:27:2722,Rx,1,0x5601069,x,8,B6 F7 02 00 35 00 89 C0 
13:13:27:2772,Rx,1,0x5601069,x,8,B5 F7 02 00 35 00 89 C0 
13:13:27:2822,Rx,1,0x5601069,x,8,B5 F7 02 00 34 00 89 C0 
13:13:27:2872,Rx,1,0x5601069,x,8,B5 F7 02 00 34 00 89 C0 
13:13:27:2922,Rx,1,0x5601069,x,8,B5 F7 01 00 33 00 89 C0 
13:13:27:2972,Rx,1,0x5601069,x,8,B5 F7 01 00 33 00 89 C0 
13:13:27:3022,Rx,1,0x5601069,x,8,B5 F7 00 00 33 00 89 C0 
13:13:27:3072,Rx,1,0x5601069,x,8,B5 F7 00 00 32 00 89 C0 
13:13:27:3132,Rx,1,0x5601069,x,8,B5 F7 FF FF 32 00 89 C0 
13:13:27:3182,Rx,1,0x5601069,x,8,B5 F7 FF FF 31 00 89 C0 
13:13:27:3232,Rx,1,0x5601069,x,8,B5 F7 FF FF 31 00 89 C0 
13:13:27:3282,Rx,1,0x5601069,x,8,B5 F7 FF FF 30 00 89 C0 
